max_depth,sample_min_split,test_size,custom_accuracy,custom_precision,custom_recall,custom_f1,custom_train_time,custom_prediction_time,custom_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_f1,sklearn_train_time,sklearn_prediction_time,sklearn_memory_usage
3,4,0.1,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.3941161632537842,0.0,0.00208282470703125,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.001992464065551758,0.0,0.0009489059448242188
3,5,0.1,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.3973240852355957,0.0,0.00208282470703125,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.0020046234130859375,0.0,0.0009489059448242188
5,2,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.4001443386077881,0.0,0.0030364990234375,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.002007007598876953,0.0,0.0009489059448242188
5,3,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.39507627487182617,0.0009829998016357422,0.00234222412109375,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.0009908676147460938,0.0,0.0009489059448242188
5,4,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.39304256439208984,0.0,0.00234222412109375,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.002002239227294922,0.0,0.0009489059448242188
5,5,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.40955042839050293,0.0,0.00234222412109375,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.001992464065551758,0.0,0.0009489059448242188
10,2,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.39861249923706055,0.0,0.00234222412109375,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.0009336471557617188,0.0,0.0009489059448242188
10,3,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.40142393112182617,0.0,0.00234222412109375,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.001992940902709961,0.0,0.0009489059448242188
10,4,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.4265265464782715,0.0,0.00234222412109375,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.001995563507080078,0.0,0.0009489059448242188
10,5,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.4250216484069824,0.0,0.00234222412109375,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.0009965896606445312,0.0,0.0009489059448242188
